Type,Address,category,endpointId,required,serviceArea,tcpPorts,udpPorts
IPv6,2603:1056:1400::/40,Allow,46,True,Common,"80,443",
IPv6,2603:1063:2000::/38,Allow,46,True,Common,"80,443",
IPv6,2620:1ec:c::15/128,Allow,46,True,Common,"80,443",
IPv6,2620:1ec:8fc::6/128,Allow,46,True,Common,"80,443",
IPv6,2620:1ec:a92::171/128,Allow,46,True,Common,"80,443",
IPv6,2a01:111:f100:2000::a83e:3019/128,Allow,46,True,Common,"80,443",
IPv6,2a01:111:f100:2002::8975:2d79/128,Allow,46,True,Common,"80,443",
IPv6,2a01:111:f100:2002::8975:2da8/128,Allow,46,True,Common,"80,443",
IPv6,2a01:111:f100:7000::6fdd:6cd5/128,Allow,46,True,Common,"80,443",
IPv6,2a01:111:f100:a004::bfeb:88cf/128,Allow,46,True,Common,"80,443",
IPv6,2603:1006:2000::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1007:200::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1016:1400::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1017::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1026:3000::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1027:1::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1036:3000::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1037:1::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1046:2000::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1047:1::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1056:2000::/48,Allow,56,True,Common,"80,443",
IPv6,2603:1057:2::/48,Allow,56,True,Common,"80,443",
IPv6,2620:1ec:4::192/128,Allow,64,True,Common,443,
IPv6,2620:1ec:a92::192/128,Allow,64,True,Common,443,
