Type,Address,alpha2code,city,postal_code,region
IPv4,68.232.184.0/24,US,Elk Grove Village,60007,US-IL
IPv4,68.232.185.0/24,US,Piscataway,08854,US-NJ
IPv4,68.232.186.0/23,US,Piscataway,08854,US-NJ
IPv4,68.232.188.0/23,US,Piscataway,08854,US-NJ
IPv4,70.34.192.0/19,SE,Spanga,163 53,SE-AB
IPv4,70.34.240.0/20,PL,Warsaw,02 222,PL-14
IPv4,78.141.192.0/20,GB,London,E14 9SZ,GB-LND
IPv4,78.141.208.0/20,NL,Amsterdam,2031,NL-NH
IPv4,78.141.224.0/19,GB,London,E14 9SZ,GB-LND
IPv4,80.240.16.0/20,DE,Frankfurt,D-60314,DE-HE
IPv4,95.179.128.0/20,NL,Amsterdam,2031,NL-NH
IPv4,95.179.144.0/20,NL,Amsterdam,2031,NL-NH
IPv4,95.179.160.0/20,DE,Frankfurt,D-60314,DE-HE
IPv4,95.179.176.0/20,NL,Amsterdam,2031,NL-NH
IPv4,95.179.192.0/20,GB,London,E14 9SZ,GB-LND
IPv4,95.179.208.0/20,FR,AUBERVILLIERS,93300,FR-93
IPv4,95.179.224.0/20,GB,London,E14 9SZ,GB-LND
IPv4,95.179.240.0/20,DE,Frankfurt,D-60314,DE-HE
IPv4,96.30.192.0/20,US,Atlanta,30318,US-GA
IPv4,96.30.208.0/20,US,Miami,33142,US-FL
IPv4,103.43.72.0/22,AU,Alexandria,2015,AU-NSW
IPv4,104.156.224.0/22,US,Piscataway,08854,US-NJ
IPv4,104.156.228.0/22,US,Santa Clara,95054,US-CA
IPv4,104.156.232.0/23,AU,Alexandria,2015,AU-NSW
IPv4,104.156.234.0/23,US,Elk Grove Village,60007,US-IL
IPv4,104.156.236.0/23,US,Dallas,75201,US-TX
IPv4,104.156.238.0/23,JP,Shinagawa-ku,142-0002,JP-13
IPv4,104.156.240.0/21,US,Miami,33142,US-FL
IPv4,104.156.248.0/22,US,Piscataway,08854,US-NJ
IPv4,104.156.252.0/23,US,Kent,98032,US-WA
IPv4,104.156.254.0/23,US,Atlanta,30318,US-GA
IPv4,104.207.128.0/23,US,Piscataway,08854,US-NJ
IPv4,104.207.130.0/23,DE,Frankfurt,D-60314,DE-HE
IPv4,104.207.132.0/22,US,Piscataway,08854,US-NJ
IPv4,104.207.136.0/21,US,Elk Grove Village,60007,US-IL
IPv4,104.207.144.0/22,US,Miami,33142,US-FL
IPv4,104.207.148.0/22,US,Santa Clara,95054,US-CA
IPv4,104.207.152.0/22,US,Los Angeles,90012,US-CA
IPv4,104.207.156.0/22,US,Kent,98032,US-WA
IPv4,104.238.128.0/21,US,Piscataway,08854,US-NJ
IPv4,104.238.136.0/23,US,Miami,33142,US-FL
IPv4,104.238.138.0/23,US,Miami,33142,US-FL
IPv4,104.238.140.0/22,US,Los Angeles,90012,US-CA
IPv4,104.238.144.0/22,US,Dallas,75201,US-TX
IPv4,104.238.148.0/22,JP,Shinagawa-ku,142-0002,JP-13
IPv4,104.238.152.0/22,US,Kent,98032,US-WA
IPv4,104.238.156.0/23,US,Kent,98032,US-WA
IPv4,104.238.158.0/23,DE,Frankfurt,D-60314,DE-HE
IPv4,104.238.160.0/23,JP,Shinagawa-ku,142-0002,JP-13
IPv4,104.238.162.0/23,US,Elk Grove Village,60007,US-IL
IPv4,104.238.164.0/23,US,Elk Grove Village,60007,US-IL
IPv4,104.238.166.0/23,DE,Frankfurt,D-60314,DE-HE
IPv4,104.238.168.0/21,GB,London,E14 9SZ,GB-LND
IPv4,104.238.176.0/23,DE,Frankfurt,D-60314,DE-HE
IPv4,104.238.178.0/23,US,Atlanta,30318,US-GA
IPv4,104.238.180.0/22,US,Santa Clara,95054,US-CA
IPv4,104.238.184.0/22,GB,London,E14 9SZ,GB-LND
IPv4,104.238.188.0/22,FR,AUBERVILLIERS,93300,FR-93
IPv4,107.191.32.0/21,US,Piscataway,08854,US-NJ
IPv4,107.191.40.0/22,US,Piscataway,08854,US-NJ
IPv4,107.191.44.0/23,US,Dallas,75201,US-TX
IPv4,107.191.46.0/23,FR,AUBERVILLIERS,93300,FR-93
IPv4,107.191.48.0/22,US,Elk Grove Village,60007,US-IL
IPv4,107.191.52.0/23,JP,Shinagawa-ku,142-0002,JP-13
IPv4,107.191.54.0/23,US,Dallas,75201,US-TX
IPv4,107.191.56.0/23,AU,Alexandria,2015,AU-NSW
IPv4,107.191.58.0/23,US,Los Angeles,90012,US-CA
IPv4,107.191.60.0/23,JP,Shinagawa-ku,142-0002,JP-13
IPv4,107.191.62.0/23,FR,AUBERVILLIERS,93300,FR-93
IPv4,108.61.0.0/18,US,Piscataway,08854,US-NJ
IPv4,108.61.64.0/19,US,Piscataway,08854,US-NJ
IPv4,108.61.96.0/24,AU,Alexandria,2015,AU-NSW
IPv4,108.61.97.0/24,ES,Madrid,28108,ES-M
IPv4,108.61.98.0/23,NL,Amsterdam,2031,NL-NH
IPv4,108.61.100.0/23,US,Elk Grove Village,60007,US-IL
IPv4,108.61.103.0/24,NL,Amsterdam,2031,NL-NH
IPv4,108.61.104.0/24,US,Atlanta,30318,US-GA
IPv4,108.61.105.0/24,FR,AUBERVILLIERS,93300,FR-93
IPv4,108.61.108.0/22,US,Dallas,75201,US-TX
IPv4,108.61.112.0/23,DE,Frankfurt,D-60314,DE-HE
IPv4,108.61.114.0/24,US,Los Angeles,90012,US-CA
IPv4,108.61.115.0/24,US,Los Angeles,90012,US-CA
IPv4,108.61.116.0/24,GB,London,E14 9SZ,GB-LND
IPv4,108.61.117.0/24,NL,Amsterdam,2031,NL-NH
IPv4,108.61.118.0/24,US,Piscataway,08854,US-NJ
IPv4,108.61.119.0/24,US,Elk Grove Village,60007,US-IL
IPv4,108.61.120.0/24,US,Miami,33142,US-FL
IPv4,108.61.122.0/23,FR,AUBERVILLIERS,93300,FR-93
IPv4,108.61.125.0/24,US,Maryland Heights,63043,US-MO
IPv4,108.61.126.0/23,JP,Shinagawa-ku,142-0002,JP-13
IPv4,108.61.128.0/19,US,Piscataway,08854,US-NJ
IPv4,108.61.160.0/22,JP,Shinagawa-ku,142-0002,JP-13
IPv4,108.61.164.0/22,NL,Amsterdam,2031,NL-NH
IPv4,108.61.168.0/23,AU,Alexandria,2015,AU-NSW
IPv4,108.61.170.0/23,DE,Frankfurt,D-60314,DE-HE
IPv4,108.61.172.0/22,GB,London,E14 9SZ,GB-LND
IPv4,108.61.176.0/23,FR,AUBERVILLIERS,93300,FR-93
IPv4,108.61.178.0/23,DE,Frankfurt,D-60314,DE-HE
IPv4,108.61.180.0/22,JP,Shinagawa-ku,142-0002,JP-13
IPv4,108.61.184.0/23,AU,Alexandria,2015,AU-NSW
IPv4,108.61.186.0/23,JP,Shinagawa-ku,142-0002,JP-13
IPv4,108.61.188.0/23,NL,Amsterdam,2031,NL-NH
IPv4,108.61.190.0/24,DE,Frankfurt,D-60314,DE-HE
IPv4,108.61.191.0/24,US,Piscataway,08854,US-NJ
IPv4,108.61.192.0/23,US,Atlanta,30318,US-GA
IPv4,108.61.194.0/23,US,Kent,98032,US-WA
IPv4,108.61.196.0/23,GB,London,E14 9SZ,GB-LND
IPv4,108.61.198.0/23,NL,Amsterdam,2031,NL-NH
IPv4,108.61.200.0/23,JP,Shinagawa-ku,142-0002,JP-13
IPv4,108.61.202.0/23,US,Elk Grove Village,60007,US-IL
IPv4,108.61.204.0/23,US,Dallas,75201,US-TX
IPv4,108.61.206.0/23,US,Los Angeles,90012,US-CA
IPv4,108.61.208.0/23,FR,AUBERVILLIERS,93300,FR-93
IPv4,108.61.210.0/23,DE,Frankfurt,D-60314,DE-HE
IPv4,108.61.212.0/23,AU,Alexandria,2015,AU-NSW
IPv4,108.61.214.0/24,US,Los Angeles,90012,US-CA
IPv4,108.61.215.0/24,US,Atlanta,30318,US-GA
IPv4,108.61.216.0/22,US,Los Angeles,90012,US-CA
IPv4,108.61.220.0/24,US,Los Angeles,90012,US-CA
IPv4,108.61.221.0/24,GB,London,E14 9SZ,GB-LND
IPv4,108.61.222.0/24,US,Dallas,75201,US-TX
IPv4,108.61.223.0/24,JP,Shinagawa-ku,142-0002,JP-13
IPv4,108.61.224.0/24,US,Dallas,75201,US-TX
IPv4,108.61.225.0/24,DE,Frankfurt,D-60314,DE-HE
IPv4,108.61.226.0/24,US,Miami,33142,US-FL
IPv4,108.61.228.0/23,US,Elk Grove Village,60007,US-IL
IPv4,108.61.230.0/24,GB,London,E14 9SZ,GB-LND
IPv4,108.61.231.0/24,US,Piscataway,08854,US-NJ
IPv4,108.61.232.0/24,US,Maryland Heights,63043,US-MO
IPv4,108.61.234.0/24,US,Los Angeles,90012,US-CA
IPv4,108.61.236.0/24,US,Atlanta,30318,US-GA
IPv4,108.61.237.0/24,FR,AUBERVILLIERS,93300,FR-93
IPv4,108.61.238.0/24,US,Elk Grove Village,60007,US-IL
IPv4,108.61.239.0/24,US,Dallas,75201,US-TX
IPv4,108.61.241.0/24,US,Dallas,75201,US-TX
IPv4,108.61.242.0/24,US,Elk Grove Village,60007,US-IL
IPv4,108.61.243.0/24,US,Piscataway,08854,US-NJ
IPv4,108.61.245.0/24,US,Piscataway,08854,US-NJ
IPv4,108.61.246.0/23,JP,Shinagawa-ku,142-0002,JP-13
IPv4,108.61.248.0/24,US,Piscataway,08854,US-NJ
IPv4,108.61.249.0/24,US,Miami,33142,US-FL
IPv4,108.61.250.0/24,JP,Shinagawa-ku,142-0002,JP-13
IPv4,108.61.251.0/24,AU,Alexandria,2015,AU-NSW
IPv4,108.61.252.0/24,US,Atlanta,30318,US-GA
IPv4,108.61.253.0/24,NL,Amsterdam,2031,NL-NH
IPv4,108.61.254.0/24,NL,Amsterdam,2031,NL-NH
IPv4,108.61.255.0/24,NL,Amsterdam,2031,NL-NH
IPv4,108.160.128.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,136.244.64.0/20,GB,London,E14 9SZ,GB-LND
IPv4,136.244.80.0/20,DE,Frankfurt,D-60314,DE-HE
IPv4,136.244.96.0/20,NL,Amsterdam,2031,NL-NH
IPv4,136.244.112.0/20,FR,AUBERVILLIERS,93300,FR-93
IPv4,137.220.32.0/20,US,Kent,98032,US-WA
IPv4,137.220.48.0/22,US,Dallas,75201,US-TX
IPv4,137.220.52.0/22,CA,"Toronto, ON",M5A 2&5,CA-ON
IPv4,137.220.56.0/21,US,Elk Grove Village,60007,US-IL
IPv4,139.84.128.0/19,IN,Bangalore,560066,IN-KA
IPv4,139.84.160.0/19,IN,Noida,201309,IN-DL
IPv4,139.84.192.0/20,AU,Port Melbourne,3207,AU-VIC
IPv4,139.84.208.0/20,IN,Bangalore,560066,IN-KA
IPv4,139.84.224.0/19,ZA,Isando Gauteng,1600,ZA-GP
IPv4,139.180.128.0/19,SG,Singapore,627753,SG-05
IPv4,139.180.160.0/20,AU,Alexandria,2015,AU-NSW
IPv4,139.180.176.0/21,AU,Alexandria,2015,AU-NSW
IPv4,139.180.184.0/21,SG,Singapore,627753,SG-05
IPv4,139.180.192.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,139.180.208.0/20,SG,Singapore,627753,SG-05
IPv4,140.82.0.0/20,US,Piscataway,08854,US-NJ
IPv4,140.82.16.0/21,US,Los Angeles,90012,US-CA
IPv4,140.82.24.0/21,US,Miami,33142,US-FL
IPv4,140.82.32.0/21,DE,Frankfurt,D-60314,DE-HE
IPv4,140.82.40.0/22,US,Piscataway,08854,US-NJ
IPv4,140.82.44.0/22,US,Piscataway,08854,US-NJ
IPv4,140.82.48.0/22,US,Santa Clara,95054,US-CA
IPv4,140.82.52.0/22,FR,AUBERVILLIERS,93300,FR-93
IPv4,140.82.56.0/22,NL,Amsterdam,2031,NL-NH
IPv4,140.82.60.0/22,US,Piscataway,08854,US-NJ
IPv4,141.164.32.0/19,KR,Seoul,03922,KR-11
IPv4,144.202.0.0/20,US,Piscataway,08854,US-NJ
IPv4,144.202.16.0/20,US,Atlanta,30318,US-GA
IPv4,144.202.32.0/20,US,Miami,33142,US-FL
IPv4,144.202.48.0/20,US,Elk Grove Village,60007,US-IL
IPv4,144.202.64.0/20,US,Dallas,75201,US-TX
IPv4,144.202.80.0/20,US,Kent,98032,US-WA
IPv4,144.202.96.0/20,US,Santa Clara,95054,US-CA
IPv4,144.202.112.0/20,US,Los Angeles,90012,US-CA
IPv4,149.28.8.0/21,US,Kent,98032,US-WA
IPv4,149.28.16.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,149.28.32.0/19,US,Piscataway,08854,US-NJ
IPv4,149.28.64.0/19,US,Los Angeles,90012,US-CA
IPv4,149.28.96.0/20,US,Miami,33142,US-FL
