Type,Address,alpha2code,city,postal_code,region
IPv6,2a05:f480:2800::/38,ES,Madrid,28108,ES-M
IPv6,2401:c080:2000::/38,AU,Port Melbourne,3207,AU-VIC
IPv6,2001:19f0:c000::/38,US,Honolulu,96819,US-HI
IPv6,2401:c080:2400::/38,IN,Mumbai,400072,IN-MH
IPv6,2401:c080:3400::/38,IN,Noida,201309,IN-DL
IPv6,2401:c080:3000::/38,IN,Bangalore,560066,IN-KA
IPv6,2a05:f480:3000::/38,ZA,Isando Gauteng,1600,ZA-GP
IPv6,2001:19f0:c800::/38,CL,Santiago,8710067,CL-RM
IPv6,2401:c080:3800::/38,JP,Osaka,540-0001,JP-27
IPv6,2001:19f0:b800::/38,BR,Osasco,06268-120,BR-SP
IPv6,2a05:f480:2c00::/38,IL,Rosh HaAyin,4809139,IL-Tel Aviv
IPv6,2a05:f480:3400::/38,GB,"Swinton, Manchester",M27 8BX,GB-GB-MAN
IPv6,2a05:f487:fc00::/38,US,Piscataway,08854,US-NJ
IPv6,2001:19f0:5c00::/38,US,Elk Grove Village,60007,US-IL
IPv6,2a05:f487:fc0d::/48,US,Atlanta,30318,US-GA
IPv6,2001:19f0:8800::/38,US,Maryland Heights,63043,US-MO
IPv6,2001:19f0:9800::/38,US,Maryland Heights,63043,US-MO
IPv6,2a05:f480:3800::/38,IT,Milan,20144,IT-IT-MI
IPv6,2001:19f0:5404::/48,US,Atlanta,30318,US-GA
IPv6,2001:19f0:9c00::/38,US,Springfield,45502,US-OH
IPv6,2a05:f487:fc34::/48,US,Atlanta,30318,US-GA
