Type,Address
IPv4,185.102.92.0/22
IPv4,185.201.144.0/22
IPv4,185.201.147.0/24
IPv4,185.207.229.0/24
IPv4,185.211.60.0/24
IPv4,185.241.32.0/22
IPv4,185.88.147.0/24
IPv4,45.12.48.0/22
IPv4,45.12.50.0/24
IPv4,45.144.132.0/22
IPv4,45.144.132.0/24
IPv6,2a02:ba8:a147::/48
IPv6,2a06:2380:8000::/33
IPv6,2a06:2380::/29
IPv6,2a06:2380::/32
IPv6,2a06:2380::/33
IPv6,2a0a:c5c0::/29
IPv6,2a0b:2a40::/32
IPv6,2a0b:6340::/32
