Type,Address,Providers
IPv6,2406:2d40:7200::/40,starlink
IPv6,2406:2d40:7600::/40,starlink
IPv6,2406:2d40:8000::/40,starlink
IPv6,2406:2d40:8400::/38,starlink
IPv6,2406:2d40:8800::/38,starlink
IPv6,2406:2d40:9000::/38,starlink
IPv6,2406:2d40:9400::/40,starlink
IPv6,2406:2d40:9800::/40,starlink
IPv6,2406:2d40:9b00::/40,starlink
IPv6,2406:2d40:9c00::/38,starlink
IPv6,2406:2d40:a000::/37,starlink
IPv6,2406:2d40:a800::/38,starlink
IPv6,2406:2d40:ac00::/39,starlink
IPv6,2406:2d40:ae00::/40,starlink
IPv6,2406:2d40:b000::/38,starlink
IPv6,2406:2d40:c000::/36,starlink
IPv6,2605:59c0::/34,starlink
IPv6,2605:59c0:4000::/36,starlink
IPv6,2605:59c0:5100::/40,starlink
IPv6,2605:59c0:5200::/40,starlink
IPv6,2605:59c0:5400::/38,starlink
IPv6,2605:59c0:5800::/37,starlink
IPv6,2605:59c0:6000::/36,starlink
IPv6,2605:59c0:7000::/44,starlink
IPv6,2605:59c0:7100::/40,starlink
IPv6,2605:59c0:7200::/39,starlink
IPv6,2605:59c0:7400::/38,starlink
IPv6,2605:59c0:7800::/37,starlink
IPv6,2605:59c0:8000::/36,starlink
IPv6,2605:59c0:9000::/38,starlink
IPv6,2605:59c0:9400::/40,starlink
IPv6,2605:59c0:9600::/39,starlink
IPv6,2605:59c0:9800::/37,starlink
IPv6,2605:59c0:a000::/36,starlink
IPv6,2605:59c1::/36,starlink
IPv6,2605:59c1:1000::/37,starlink
IPv6,2605:59c1:1800::/38,starlink
IPv6,2605:59c1:1c00::/39,starlink
IPv6,2605:59c1:2000::/35,starlink
IPv6,2605:59c1:4000::/36,starlink
IPv6,2605:59c7:194::/46,starlink
IPv6,2605:59c7:f001::/48,starlink
IPv6,2605:59c7:f002::/47,starlink
IPv6,2605:59c7:f004::/47,starlink
IPv6,2605:59c7:f006::/48,starlink
IPv6,2605:59c7:f009::/48,starlink
IPv6,2605:59c7:f00a::/48,starlink
IPv6,2605:59c7:f018::/48,starlink
IPv6,2605:59c7:f080::/47,starlink
IPv6,2605:59c7:f082::/48,starlink
IPv6,2605:59c7:f0c0::/47,starlink
IPv6,2605:59c7:f802::/48,starlink
IPv6,2605:59c8::/35,starlink
IPv6,2605:59c8:2000::/36,starlink
IPv6,2605:59c8:3000::/38,starlink
IPv6,2605:59c8:3400::/40,starlink
IPv6,2605:59c8:3800::/37,starlink
IPv6,2605:59c8:4000::/37,starlink
IPv6,2605:59c8:4800::/38,starlink
IPv6,2605:59c8:4c00::/39,starlink
IPv6,2605:59c8:4e00::/40,starlink
IPv6,2605:59c8:5000::/38,starlink
IPv6,2605:59c8:5400::/39,starlink
IPv6,2605:59c8:5600::/40,starlink
IPv6,2605:59c8:6000::/38,starlink
IPv6,2605:59c8:6500::/40,starlink
IPv6,2605:59c8:6800::/38,starlink
IPv6,2605:59c8:6c00::/39,starlink
IPv6,2605:59c8:6e00::/40,starlink
IPv6,2605:59c8:7000::/39,starlink
IPv6,2605:59c8:7300::/40,starlink
IPv6,2605:59c8:7400::/40,starlink
IPv6,2605:59c8:7600::/40,starlink
IPv6,2605:59c8:8100::/40,starlink
IPv6,2605:59c8:8200::/39,starlink
IPv6,2605:59c9::/40,starlink
IPv6,2605:59c9:400::/40,starlink
IPv6,2605:59ca:1000::/38,starlink
IPv6,2605:59ca:1400::/39,starlink
IPv6,2605:59ca:1600::/40,starlink
IPv6,2605:59ca:2000::/35,starlink
IPv6,2605:59ca:4000::/35,starlink
IPv6,2605:59ca:6000::/36,starlink
IPv6,2605:59ca:7000::/37,starlink
IPv6,2605:59ca:8000::/41,starlink
IPv6,2605:59ca:8080::/46,starlink
IPv6,2605:59ca:8084::/48,starlink
IPv6,2605:59ca:8086::/47,starlink
IPv6,2605:59ca:8088::/45,starlink
IPv6,2605:59ca:8100::/40,starlink
IPv6,2605:59ca:8200::/40,starlink
IPv6,2605:59ca:8400::/40,starlink
IPv6,2605:59ca:8600::/39,starlink
IPv6,2605:59ca:8800::/37,starlink
IPv6,2605:59ca:9000::/38,starlink
IPv6,2620:134:b054:100::12/127,starlink
IPv6,2620:134:b054:100::14/126,starlink
IPv6,2620:134:b054:100::18/127,starlink
IPv6,2620:134:b054:100::20/125,starlink
IPv6,2620:134:b054:100::28/127,starlink
IPv6,2620:134:b054:100::30/125,starlink
IPv6,2620:134:b054:100::38/127,starlink
IPv6,2620:134:b054:100::40/125,starlink
IPv6,2620:134:b054:100::48/127,starlink
IPv6,2620:134:b054:100::50/125,starlink
IPv6,2620:134:b054:100::58/127,starlink
IPv6,2620:134:b054:100::60/125,starlink
IPv6,2620:134:b054:100::68/127,starlink
IPv6,2620:134:b054:100::70/126,starlink
IPv6,2620:134:b054:100::74/127,starlink
IPv6,2620:134:b054:100::78/127,starlink
IPv6,2620:134:b054:100::80/125,starlink
IPv6,2620:134:b054:100::88/127,starlink
IPv6,2620:134:b054:100::90/125,starlink
IPv6,2803:9810::/35,starlink
IPv6,2803:9810:2000::/38,starlink
IPv6,2803:9810:3000::/36,starlink
IPv6,2803:9810:4000::/38,starlink
IPv6,2803:9810:4400::/39,starlink
IPv6,2803:9810:4600::/40,starlink
IPv6,2803:9810:4800::/37,starlink
IPv6,2803:9810:5000::/39,starlink
IPv6,2803:9810:5200::/40,starlink
IPv6,2803:9810:5500::/40,starlink
IPv6,2803:9810:5600::/40,starlink
IPv6,2803:9810:5900::/40,starlink
IPv6,2803:9810:5a00::/39,starlink
IPv6,2803:9810:5c00::/38,starlink
IPv6,2803:9810:6000::/39,starlink
IPv6,2803:9810:6300::/40,starlink
IPv6,2803:9810:6400::/39,starlink
IPv6,2803:9810:6800::/40,starlink
IPv6,2803:9810:7000::/40,starlink
IPv6,2803:9810:7200::/40,starlink
IPv6,2803:9810:7400::/38,starlink
IPv6,2803:9810:8000::/37,starlink
IPv6,2803:9810:a000::/39,starlink
IPv6,2803:9810:a200::/40,starlink
IPv6,2803:9810:a500::/40,starlink
IPv6,2803:9810:b000::/39,starlink
IPv6,2803:9810:b200::/40,starlink
IPv6,2803:9810:b400::/38,starlink
IPv6,2803:9810:b800::/37,starlink
IPv6,2803:9810:c000::/38,starlink
IPv6,2803:9810:c400::/40,starlink
IPv6,2a0d:3341:a000::/38,starlink
IPv6,2a0d:3341:a800::/37,starlink
IPv6,2a0d:3341:b040::/42,starlink
IPv6,2a0d:3341:b100::/40,starlink
IPv6,2a0d:3341:b200::/42,starlink
IPv6,2a0d:3341:b300::/40,starlink
IPv6,2a0d:3341:b400::/38,starlink
IPv6,2a0d:3341:b800::/37,starlink
IPv6,2a0d:3341:c000::/40,starlink
IPv6,2a0d:3341:c100::/42,starlink
IPv6,2a0d:3341:c200::/42,starlink
IPv6,2a0d:3341:c300::/42,starlink
IPv6,2a0d:3341:c400::/38,starlink
IPv6,2a0d:3341:c900::/40,starlink
